,Illusory superiority,Overestimating one's abilities relative to others.,,1. Believing you're a better driver than most people; 2. Overestimating your problem-solving skills; 3. Thinking you're more intelligent than statistics suggest; 4. Believing you're more attractive than most peers; 5. Overestimating your work ethic compared to colleagues; 6. Thinking your investments will outperform the market; 7. Believing you're less biased than average person; 8. Overestimating your ability to succeed at new tasks; 9. Thinking you're funnier than most people; 10. Believing you're kinder than average person.,1. Rating yourself accurately on standardized tests; 2. Accepting objective measures of ability; 3. Recognizing limitations in your skills; 4. Acknowledging areas where others excel; 5. Comparing fairly to actual peer performance; 6. Accepting market average returns; 7. Acknowledging your own biases; 8. Respecting steep learning curves; 9. Accepting feedback about your humor; 10. Recognizing kindness is common.,Nearly everyone rated themselves better drivers than average classmates.,Students claimed higher intelligence despite identical test scores.,Employees believed their teamwork exceeded department norms.,Parents insisted their children were exceptionally gifted.,Managers rated leadership skills above company average.,She honestly ranked herself average at mathematics.,He accepted median performance evaluations calmly.,Students acknowledged typical abilities.
,Dunning-Kruger effect,Low ability causes overconfidence due to self-assessment skills.,,1. Poor students overconfidently predict good exam grades; 2. Unskilled workers overestimate their job performance; 3. Beginners overestimate their competence in new domains; 4. Poor players believe they're better than they are; 5. Uneducated people overestimate their knowledge; 6. Inexperienced drivers overestimate their driving ability; 7. Beginning investors overestimate investment knowledge; 8. Unskilled artists overestimate artistic ability; 9. Poor performers are most confident about performance; 10. Incompetent people most resistant to feedback.,1. Accurate self-assessment despite low skill; 2. Humble confidence improving with competence; 3. Seeking feedback even when unskilled; 4. Recognizing learning curve is steep; 5. Admitting knowledge gaps openly; 6. Accepting coaching from experts willingly; 7. Revising confidence as skill develops; 8. Understanding expertise requires practice; 9. Valuing correction and improvement; 10. Showing humility despite any competence.,He believed his singing outperformed classmates without any formal training.,She assumed superior multitasking despite frequent missed deadlines.,Drivers claimed exceptional reflexes after minor near-misses.,Students predicted top scores before seeing practice results.,Entrepreneurs overvalued ideas despite limited market research.,She sought feedback before judging her skills.,He compared performance data objectively.,Students reviewed rankings realistically.
,False consensus effect,Overestimating how much others share our beliefs and behaviors.,,1. Believing most people share your political views; 2. Thinking most friends enjoy your favorite music; 3. Assuming others would behave as you would; 4. Believing your opinions represent majority views; 5. Thinking most people would make your choices; 6. Assuming others hold your values; 7. Believing your experiences are typical; 8. Thinking people want what you want; 9. Assuming colleagues share your work ethic; 10. Believing most friends would act as you would.,1. Recognizing genuine diversity of opinion; 2. Accepting others' different preferences; 3. Understanding people make different choices; 4. Acknowledging minority status of some views; 5. Recognizing your experiences are unique; 6. Accepting diverse values exist; 7. Understanding varied motivations drive behavior; 8. Recognizing different people want different things; 9. Accepting colleague differences in work style; 10. Acknowledging genuine disagreement with others.,"He predicted high exam scores on hardest section, missed basics.",She doubted simple puzzles but boasted complex reasoning abilities.,Traders underestimated routine profits but overestimated risky strategies.,Students ignored easy questions while obsessing over difficult ones.,Athletes underestimated warmups but overestimated championship performance.,She practiced basics carefully.,He realistically assessed difficult material.,Students valued easy points.
,Illusion of control,Believing we influence outcomes actually determined by chance.,,1. Believing your lucky ritual affects dice rolls; 2. Thinking your choice of seat affects lottery odds; 3. Believing positive thinking influences uncontrollable events; 4. Thinking you can control stock market outcomes; 5. Believing your actions influence random events; 6. Thinking meditation affects uncontrollable circumstances; 7. Believing rituals control weather or luck; 8. Thinking you can will specific outcomes into existence; 9. Believing your focus influences random processes; 10. Thinking superstitions provide actual control.,1. Understanding randomness in lottery systems; 2. Recognizing true probabilistic outcomes; 3. Accepting genuine uncontrollability; 4. Understanding market randomness fundamentally; 5. Recognizing limits of personal influence; 6. Accepting meditation benefits without control claims; 7. Understanding weather is independent of action; 8. Accepting outcome randomness; 9. Focusing effort on actually controllable factors; 10. Abandoning superstitions rationally.,He rolled dice harder for higher numbers.,She clicked repeatedly during slow downloads.,Gamblers chose lottery numbers carefully.,Traders felt control over volatile markets.,Students wore lucky shirts before exams.,He accepted randomness calmly.,She relied on probability.,Gamblers recognized chance.
,Barnum effect,Accepting vague personality descriptions as uniquely accurate.,,1. Finding astrology readings surprisingly accurate; 2. Believing generic horoscopes describe you perfectly; 3. Accepting vague fortune cookie wisdom as personal; 4. Thinking personality test results are uniquely accurate; 5. Believing tarot readings reveal personal truth; 6. Finding generic feedback strangely applicable; 7. Believing cold reading reveals personal details; 8. Finding vague psychic readings accurate; 9. Accepting generic life advice as personally tailored; 10. Believing palm readings reveal character traits.,"1. Recognizing vagueness in personality descriptions; 2. Distinguishing specific feedback from generic; 3. Questioning overgeneralized statements; 4. Demanding concrete evidence for claims; 5. Recognizing confirmation bias in readings; 6. Accepting only specific, verifiable information; 7. Understanding cold reading techniques; 8. Questioning accuracy of psychic claims; 9. Distinguishing universal advice from personal; 10. Understanding how Barnum effect works.",Horoscope readings felt deeply personal despite universal phrasing.,She believed personality quizzes described her perfectly.,Students embraced generic fortune-telling feedback.,Clients accepted broad therapy statements.,Employees related to generalized leadership profiles.,She questioned vague assessments.,He asked for specific evidence.,Students noticed generic language.
,Forer effect,Believing general statements specifically describe oneself.,,1. Accepting 'you're sometimes anxious' as insight; 2. Finding cold reading 'you have untapped potential' strangely personal; 3. Thinking fortune cookie 'you're destined for success' was meant for you; 4. Accepting 'you sometimes doubt yourself' as unique observation; 5. Believing 'others don't understand you' is unique; 6. Finding 'you value honesty' surprises you personally; 7. Thinking 'you're more capable than you believe' is personal wisdom; 8. Accepting 'you have conflicting emotions' as unique; 9. Believing generic personality test describes you uniquely; 10. Thinking 'you struggle with perfectionism' reveals you.,"1. Recognizing universal human traits; 2. Distinguishing generic from specific; 3. Understanding most people have similar doubts; 4. Recognizing common human experiences; 5. Understanding how cold reading works; 6. Questioning seeming accuracy of generic statements; 7. Demanding specific, verifiable claims; 8. Understanding Barnum principle; 9. Recognizing vague statements apply broadly; 10. Questioning fortune teller accuracy.",Participants rated identical personality sheets highly personalized.,She trusted generic career predictions.,Students felt online profiles matched them exactly.,Workshop attendees praised universal feedback.,Users accepted broad self-help descriptions.,Participants compared answers.,She recognized recycled phrases.,Students demanded tailored feedback.
,Third-person effect,Believing media affects others more than oneself.,,"1. Thinking advertisements influence others, not you; 2. Believing propaganda affects others more; 3. Thinking violent media harms others' behavior; 4. Believing fake news influences other voters; 5. Thinking misinformation affects others' beliefs; 6. Believing social media affects others' self-image more; 7. Thinking others are more susceptible to ads; 8. Believing others more influenced by celebrity; 9. Thinking others more affected by bias; 10. Believing peers more influenced by trends.",1. Recognizing media influences you equally; 2. Admitting you're susceptible to ads; 3. Accepting misinformation affects your beliefs; 4. Recognizing your own media consumption effects; 5. Understanding you're vulnerable to propaganda; 6. Admitting social media affects your self-image; 7. Recognizing you're influenced by celebrities; 8. Accepting you have media biases; 9. Admitting you follow trends; 10. Recognizing uniform media effects across people.,"He thought ads manipulated others, not his own buying habits.",She blamed misinformation on gullible classmates.,"Parents feared screens corrupt children, not themselves.",Students claimed propaganda fooled peers.,Voters assumed others were influenced.,He acknowledged personal susceptibility.,She reflected on advertising impact.,Parents monitored their own media use.
,Social desirability bias,Answering to appear socially acceptable rather than truthful.,,1. Overreporting volunteer work to researchers; 2. Exaggerating charitable donations in surveys; 3. Claiming you exercise more frequently than true; 4. Reporting healthy eating habits you don't follow; 5. Overstating your political engagement; 6. Claiming more reading than you actually do; 7. Exaggerating cultural knowledge in interviews; 8. Overstating educational achievements slightly; 9. Claiming you recycle more than you do; 10. Overstating environmentalism in surveys.,1. Reporting behaviors honestly despite judgment; 2. Admitting to socially unacceptable truths; 3. Being truthful about habits in surveys; 4. Confessing actual behavior patterns; 5. Acknowledging real time allocation; 6. Admitting things you don't do; 7. Being honest about knowledge gaps; 8. Reporting true achievement levels; 9. Confessing actual environmental behavior; 10. Prioritizing honesty over appearance.,Survey respondents overstated volunteering hours.,Students denied cheating behaviors.,Employees exaggerated teamwork contributions.,Participants underreported unhealthy habits.,Interviewees claimed eco-friendly lifestyles.,Respondents answered anonymously.,Students admitted mistakes.,Employees reported honestly.
,Optimism bias,Expecting positive outcomes while underestimating likelihood of negative events.,,1. Smokers underestimate cancer risk for themselves; 2. Believing personal car accident risk is low; 3. Expecting better financial outcomes than average; 4. Underestimating relationship divorce risk; 5. Believing health problems won't affect you; 6. Expecting job success despite statistics; 7. Believing personal investment will outperform market; 8. Expecting business success despite failure rates; 9. Underestimating personal health risk factors; 10. Believing you'll beat the odds in risky situations.,1. Accurate risk assessment for yourself; 2. Understanding personal vulnerability to risks; 3. Accepting realistic outcome probabilities; 4. Acknowledging statistical likelihood applies to you; 5. Realistic health risk assessment; 6. Expecting average outcomes; 7. Understanding market average returns; 8. Accepting business failure rates; 9. Recognizing personal health risks; 10. Assessing odds objectively without bias.,He assumed deadlines would magically work out.,She ignored illness risks before traveling.,Students expected easy finals.,Drivers believed accidents wouldn’t happen.,Entrepreneurs underestimated startup failure rates.,He planned contingencies.,She considered risks carefully.,Students prepared thoroughly.
,Egocentric bias,Overestimating our contribution and perspective in shared experiences.,,1. Overestimating your role in group project success; 2. Believing you contributed more to relationship; 3. Overestimating your idea's importance in group discussion; 4. Believing you influenced friend's behavior; 5. Overestimating your speaking time in conversation; 6. Believing your suggestion was the key decision; 7. Overestimating how much others notice you; 8. Believing your perspective is objective; 9. Thinking your experience represents everyone's; 10. Overestimating your impact on group outcome.,1. Accurately assessing actual contributions; 2. Recognizing others' significant contributions; 3. Understanding diverse perspectives exist; 4. Admitting others' role in outcomes; 5. Accurately estimating speaking time; 6. Recognizing group decisions are collective; 7. Understanding you're not constantly noticed; 8. Accepting your perspective is subjective; 9. Recognizing diverse experiences differ; 10. Fairly distributing credit to others.,He believed group success mostly came from his ideas.,She remembered arguments from her viewpoint only.,Teammates overstated personal effort.,Partners recalled chores unevenly.,Students thought they dominated discussions.,He credited teammates.,She considered others’ memories.,Groups tracked contributions.
,Overconfidence effect,Excessive confidence in accuracy of judgments and abilities.,,1. Overestimating test answer accuracy; 2. Overconfidently making business predictions; 3. Believing forecasts with unjustified certainty; 4. Overestimating investment return predictions; 5. Confidently stating opinions as facts; 6. Overestimating knowledge about complex topics; 7. Confidently making health predictions; 8. Overestimating accuracy of memory; 9. Confidently predicting others' behavior; 10. Believing unjustified certainty in complex decisions.,1. Expressing appropriate uncertainty; 2. Acknowledging knowledge limitations; 3. Admitting prediction uncertainty; 4. Recognizing complexity of forecasting; 5. Qualifying claims appropriately; 6. Expressing nuance in opinions; 7. Accepting medical uncertainty; 8. Questioning memory accuracy; 9. Acknowledging behavior unpredictability; 10. Expressing calibrated confidence levels.,"He skipped studying, predicting guaranteed exam success.","Traders ignored data, trusting intuition.",She assumed flawless presentation delivery.,Athletes underestimated opponents.,Managers forecast unrealistic growth.,He double-checked answers.,Traders reviewed evidence.,She rehearsed presentations.
Favor the relatable thing in front of us,,,,,,,,,,,,,
,Identifiable victim effect,People help specific visible individuals more than anonymous statistical victims.,,1. Donating more to identified child than statistical thousands in poverty; 2. Caring more about one missing person than millions in famine; 3. Helping specific pet more readily than species conservation; 4. Responding more to personal plea than epidemiological data; 5. Fundraising more for named individuals than anonymous groups; 6. Helping friend more than unknown person with same need; 7. Prioritizing one person's crisis over thousands in crisis; 8. Saving identified person more readily than statistical lives; 9. Donating more when you know recipient's name; 10. Helping when you see someone's face versus statistics.,"1. Responding equally to statistics and individuals; 2. Recognizing statistical suffering as equally important; 3. Allocating resources by actual need, not visibility; 4. Helping based on scale of problem, not personal connection; 5. Caring equally about identified and unidentified victims; 6. Prioritizing by actual impact, not emotional resonance; 7. Understanding statistical lives matter equally; 8. Distributing help by greatest need systematically; 9. Responding to aggregate suffering proportionally; 10. Making fair allocation regardless of visibility.",She donated instantly after seeing one injured puppy on social media.,He ignored disaster statistics but paid hospital bills for one neighbor.,Students fundraised harder after meeting a single affected classmate.,"Viewers cried for one refugee child, ignoring thousands displaced.",Volunteers rallied once hearing one survivor’s personal story.,She donated equally to large charities.,He reviewed population data first.,Students considered overall impact.
,Appeal to novelty,Preferring new options simply because they seem fresh or innovative.,,1. Buying new products just because they're new; 2. Switching brands seeking novelty; 3. Preferring new method over proven approach; 4. Choosing new restaurant over established favorite; 5. Adopting new technology immediately despite unproven reliability; 6. Preferring new ideas simply for being recent; 7. Switching jobs for novelty despite benefits; 8. Choosing new fashion despite personal style; 9. Adopting trendy diet over balanced nutrition; 10. Selecting new political philosophy solely for newness.,1. Evaluating new products on actual merit; 2. Sticking with proven brands when superior; 3. Using traditional methods when effective; 4. Returning to established restaurants; 5. Adopting technology only when reliable; 6. Evaluating ideas independent of recency; 7. Staying in roles providing value; 8. Maintaining personal style over trends; 9. Following evidence-based nutrition; 10. Choosing political views by substance.,He bought the newest phone despite perfectly working old model.,Students tried flashy apps instead of proven study methods.,Managers adopted trendy frameworks without evidence.,She ordered experimental drinks over reliable favorites.,Investors chased newest startups blindly.,He compared features carefully.,Students stuck with effective routines.,Managers demanded evidence.
,Hyperbolic discounting,Preferring immediate rewards over larger delayed benefits irrationally.,,1. Choosing $50 today over $100 next month; 2. Spending savings immediately instead of investing; 3. Eating dessert now despite wanting fitness later; 4. Watching TV instead of studying for exams; 5. Skipping exercise for short-term comfort; 6. Buying impulse item instead of saving; 7. Taking small raise immediately versus larger future gain; 8. Procrastinating despite knowing consequences; 9. Choosing immediate gratification over future success; 10. Sacrificing long-term health for immediate pleasure.,1. Accepting delayed larger reward over immediate small; 2. Saving consistently for future; 3. Maintaining exercise for long-term health; 4. Studying despite short-term discomfort; 5. Investing for future security; 6. Resisting impulse purchases; 7. Choosing long-term career benefits; 8. Following through on commitments; 9. Prioritizing future goals over immediate; 10. Delaying gratification successfully.,He chose gaming tonight instead of studying for future scholarships.,She spent savings now rather than investing for retirement.,Students skipped homework for instant social media scrolling.,Drivers sped for minutes saved.,Workers cashed bonuses immediately.,He delayed gratification.,She invested long-term.,Students planned schedules.
Favor completing when  time & energy invested,,,,,,,,,,,,,
,Backfire effect,Contradictory evidence strengthens existing beliefs instead of changing them.,,1. Showing evidence to anti-vaccine person strengthens anti-vaccine views; 2. Fact-checking reinforces political belief despite evidence; 3. Showing climate evidence strengthens climate denial; 4. Providing historical facts strengthens alternative views; 5. Sharing statistics reinforces false belief; 6. Evidence against superstition strengthens superstition; 7. Debunking conspiracy theory strengthens belief; 8. Scientific evidence reinforces pseudoscience belief; 9. Counterargument strengthens original position; 10. Contradictory facts entrench existing worldview.,1. Evidence changes minds when presented respectfully; 2. Fact-checking reduces political polarization; 3. Climate data shifts opinion among persuadables; 4. Historical evidence shifts historical beliefs; 5. Statistics update probability estimates; 6. Scientific evidence reduces superstition; 7. Well-presented debunking reduces conspiracy beliefs; 8. Research reduces pseudoscience acceptance; 9. Strong arguments produce attitude change; 10. Open people update views with new evidence.,Facts about vaccines made him more resistant.,Political corrections increased her loyalty.,Climate data hardened denial.,Debunking reinforced conspiracy theories.,Statistics intensified brand loyalty.,He reconsidered views.,She adjusted opinions.,They accepted corrections.
,Endowment effect,Valuing owned objects more than identical unowned objects.,,1. Valuing your coffee mug more once you own it; 2. Asking higher price for possessed item than willing to pay; 3. Reluctance to sell possessed item at market price; 4. Overvaluing inherited items; 5. Pricing your car higher than identical unowned car; 6. Reluctance to trade your possession for better item; 7. Overvaluing gift because you received it; 8. Asking more for possessed artwork than identical unowned; 9. Overvaluing your essay compared to others'; 10. Reluctance to exchange possessed item for equivalent value.,"1. Accurate market-value assessment of possessions; 2. Rational pricing independent of ownership; 3. Willingness to trade if value increases; 4. Fair exchange at market prices; 5. Car pricing based on condition, not ownership; 6. Rational trading for better options; 7. Valuing gifts by actual worth; 8. Art pricing by actual quality; 9. Evaluating essays by merit, not author; 10. Exchanging fairly regardless of possession.",He overpriced his used laptop.,She refused fair trades.,Students demanded more for borrowed books.,Homeowners inflated house value.,Collectors rejected equal swaps.,He compared market prices.,She accepted trades.,Students priced objectively.
,Pseudo certainty effect,Avoiding risk when gains seem certain,,1. Calculating expected value rationally; 2. Taking higher-probability favorable outcomes; 3. Understanding probability mathematically; 4. Accepting uncertainty when expected value positive; 5. Making decisions based on expected return; 6. Taking calculated risks; 7. Evaluating by probability-weighted outcomes; 8. Pursuing higher expected value; 9. Understanding risk-reward ratios; 10. Making rational probabilistic decisions.,1. Choosing certain $50 over 50% chance of $100; 2. Avoiding investment despite higher expected return; 3. Taking guaranteed small gain over higher risky gain; 4. Choosing certain loss reduction over uncertain reduction; 5. Playing it safe when odds favor risk; 6. Selecting guaranteed mediocre outcome; 7. Avoiding opportunity due to uncertainty despite probability; 8. Choosing certain small benefit; 9. Passing on higher expected value for certainty; 10. Risk aversion despite favorable odds.,She chose guaranteed small prize over better expected value.,Investors avoided slight risk.,Patients picked definite relief.,Students selected sure grades.,Shoppers preferred guaranteed coupons.,She calculated probabilities.,Investors weighed outcomes.,Patients reviewed statistics.
,Unit bias,Preferring single units regardless of appropriate quantity.,,1. Buying single item when bulk is better value; 2. Eating full portion because it's one portion; 3. Completing project even when partial acceptable; 4. Paying per-unit despite bulk discount; 5. Drinking full glass when less sufficient; 6. Taking full dose when half sufficient; 7. Buying one item despite multi-pack savings; 8. Watching full movie despite better to pause; 9. Ordering single entree size despite waste; 10. Using full amount of product regardless of need.,1. Purchasing optimal quantity; 2. Eating appropriate portion size; 3. Completing appropriate portion; 4. Choosing best price per-unit overall; 5. Drinking appropriate amount; 6. Taking appropriate dose; 7. Bulk purchasing when economical; 8. Breaking large projects into sections; 9. Ordering appropriate quantity; 10. Using appropriate product amount.,He ate entire giant muffin.,She poured full glass each time.,Students read only one article.,Gym members lifted one plate.,Snacks consumed per package.,He portioned food.,She measured servings.,Students reviewed multiple sources.
