Need to Act Fast,,,
,Definition,Ex,C-Ex
Pseudo certainty effect,"Avoiding risk when gains seem certain, ignoring overall probabilities.","She chose a guaranteed small prize instead of a larger option with higher expected value.
  Investors avoided minor risks even when probabilities favored better long-term returns.
 People choose a sure $50 discount now over a probabilistic $100 savings later, ignoring expected value.
  Students preferred guaranteed grades rather than risk assessment-based evaluations with higher potential scores.
  Shoppers favored guaranteed coupons over lottery-style promotions with better expected savings.","She chose the option with higher expected value despite uncertain outcomes.
 He accepted some risk after carefully comparing total probabilities.
 They evaluated all possible outcomes instead of focusing on guaranteed gains."
Unit bias,Preferring single units regardless of appropriate quantity.,"He ate the entire giant muffin because it was considered one serving.
  She poured a full glass every time, regardless of how much she actually wanted to drink.
 Students read only one article because assignments framed it as a single required unit.
  Gym members finish one full plate simply because it is served as one portion.
  A person eats the entire large bag of chips because itâs labeled one serving, regardless of portion size.","He adjusted portion size based on hunger rather than eating a fixed unit.
 She split the package to consume an appropriate amount.
 They ignored default units and measured quantities precisely."
Disposition effect,"Selling winning investments early, holding losing ones too long.","He sold profitable stocks quickly to lock gains instead of letting winners grow further.
  She held onto failing shares for years, hoping losses would eventually reverse.
 Traders locked in gains prematurely while refusing to accept losses on declining investments.
 Investors sell winning stocks quickly but hold losing stocks too long, hoping theyâll recover.
  Portfolios stagnated because losses were held too long and gains were cut too early.","She held winning stocks long-term while quickly selling poor investments.
 He rebalanced objectively, ignoring gains or losses.
 Investment decisions were based on future prospects, not past performance."
Zero-risk bias,Preferring complete elimination of small risks over reducing larger risks.,"Parents demanded zero peanut policies despite evidence showing minimal actual allergy risks.
  Cities overfunded extremely rare hazards while ignoring more probable public safety threats.
  Patients chose zero-risk surgeries even when slightly risky alternatives had better outcomes.
  Managers eliminated tiny defects while ignoring larger systemic operational failures.
  Consumers bought unnecessary insurance simply because it promised complete risk elimination.","They preferred reducing major risks instead of eliminating minor ones completely.
 She chose the option with greatest overall risk reduction.
 The policy focused on proportional risk reduction rather than zeroing small threats."
Generation effect,Information remembered better when self-generated.,"Students remembered answers better when they wrote them themselves during practice sessions.
 She recalled self-made flashcards more effectively than information from prewritten notes.
  He memorized song lyrics faster by composing his own melodies.
  Teams remembered ideas better when they brainstormed them collaboratively.
  Kids recalled invented stories more vividly than stories they only read.","He remembered the definition equally well after reading it carefully.
 Listening attentively produced the same recall as self-generating answers.
 Provided examples were remembered without personal generation."
Processing difficulty effect,Harder-to-process information feels more valuable or memorable.,"Blurred slides seemed deeper and more important simply because they required extra effort to understand.
  Complex fonts made simple content feel more intelligent and authoritative to readers.
  Dense articles impressed readers despite offering no additional meaningful insights.
  Messy notes felt more meaningful because they demanded extra cognitive effort to interpret.
  Cryptic quotes sounded profound even when their actual message was vague.","Clear, fluent text felt more trustworthy than complex wording.
 Easy-to-read instructions were judged more useful.
 Simplicity increased confidence rather than reducing perceived value."
IKEA effect,Valuing self-assembled products more than identical preassembled ones.,"People value a wobbly desk they assembled themselves more than a sturdier, store-bought one.
  She loved a handmade shelf more than professionally manufactured alternatives.
  Students favored posters they created together over professionally designed ones.
 Parents cherished childrenâs DIY crafts more than store-bought decorations.
  Gamers valued custom-built characters more than default in-game options.","She preferred the factory-assembled table over the one she built herself.
 Self-assembly did not increase his valuation of the product.
 They valued both versions equally regardless of effort invested."
Loss aversion,Losses feel psychologically stronger than equivalent gains.,"He avoided investing entirely because potential losses felt more painful than possible gains.
 She felt stronger distress losing five dollars than happiness from gaining the same amount.
 Players quit games after small losses but continued after equivalent-sized wins.
  Managers resisted budget cuts more intensely than they celebrated equivalent budget increases.
 Students feared grade drops more than they valued potential grade improvements.","She treated gains and losses symmetrically when making decisions.
 A small loss felt no worse than an equivalent gain felt good.
 Choices were guided by net outcomes, not fear of loss."
Escalation of commitment,Continuing failing actions due to previous investments.,"They continued funding a doomed project because admitting failure would invalidate earlier investments.
  She stayed in a failing relationship because of years already invested emotionally.
  Managers doubled marketing spending to justify earlier unsuccessful campaigns.
  Students stuck with wrong majors because switching felt like wasting previous coursework.
  Teams extended bad contracts rather than admitting the initial decisions were mistakes.","He stopped the project immediately after evidence showed it would fail.
 Past investments did not influence the decision to withdraw.
 They abandoned the plan despite prior effort and expense."
Irrational escalation,Increasing commitment despite evidence of failure.,"She added more money to a scam even after clear warning signs appeared.
  Companies expanded failing branches despite consistent financial losses.
  Students repeated the same ineffective study methods despite poor exam results.
  Gamblers chased losses by betting larger amounts after repeated failures.
  Managers increased investment simply because walking away felt psychologically unbearable.","She reduced commitment once results consistently worsened.
 New evidence prompted disengagement rather than increased investment.
 They accepted failure and redirected resources elsewhere."
Sunk cost fallacy,Persisting because past costs cannot be recovered.,"He finished a terrible movie because he already paid for the ticket.
  She stayed in a boring class because tuition had already been paid.
  Travelers endured awful tours because they prepaid and refused to waste money.
  They keep watching a boring movie because they already paid for the ticket.
  Businesses kept operating unprofitable projects because significant money was already spent.","He quit the course despite already paying the tuition.
 Past expenses were ignored when deciding future actions.
 She walked away once continuing no longer made sense."
Motivated to keep autonomy and status in a group,,,
Status quo bias,Preference for maintaining current conditions even when better alternatives exist.,"People keep default phone settings despite knowing more efficient options exist.
 Voters support existing policies simply because they are familiar.
 Employees stay in inefficient workflows rather than adopting new systems.
 Investors hold losing stocks to avoid changing their portfolios.
 Users resist software updates despite promised performance improvements.","They changed procedures quickly after identifying better alternatives.
 She welcomed reform instead of preserving existing arrangements.
 The group actively sought improvements over current practices."
Social comparison bias,Judging oneself or decisions by comparison with others instead of absolutes.,"Student feels unsuccessful despite high grades because peers scored higher.
 Employee undervalues promotion after comparing salary with coworkers.
 Athlete feels inadequate after comparing performance to elite professionals.
 Person buys luxury goods to match friends' lifestyles.
 Researcher dismisses work because colleagues publish in higher journals.","He evaluated success using personal goals rather than othersâ achievements.
 Decisions were based on absolute standards, not peer comparisons.
 She ignored social rankings when judging her performance."
Decoy effect,Preference shifts toward option made attractive by an inferior comparison.,"Customers choose medium popcorn when overpriced large option is introduced.
 Shoppers select mid-tier subscription after seeing an obviously worse alternative.
 Diners order second-most-expensive wine due to extreme high-priced decoy.
 Consumers prefer bundle once weaker bundle is added.
 Buyers choose premium phone when low-value model is displayed.","Preferences remained stable despite the introduction of inferior options.
 She chose independently of how alternatives were framed.
 The added option did not influence their original choice."
Reverse psychology,Influencing behavior by suggesting the opposite of desired action.,"Parent tells child not to clean room, triggering immediate cleaning.
 Coach doubts player's readiness, motivating improved performance.
 Advertiser discourages purchase to increase perceived desirability.
 Teacher warns assignment is too difficult, increasing student effort.
 Friend suggests skipping event, making others more eager to attend.","Clear instructions produced compliance without suggesting the opposite.
 Direct requests worked better than indirect persuasion.
 They responded positively to straightforward guidance."
Reactance,Resistance arising when individuals feel their freedom of choice threatened.,"Teenagers want forbidden activities more after strict parental bans.
 Employees resist mandatory policies even if beneficial.
 Consumers dislike products heavily pushed by aggressive advertising.
 People reject advice when phrased as commands.
 Students oppose rules limiting expression.","He accepted advice calmly without feeling his freedom threatened.
 Guidelines were followed without resistance or defiance.
 She welcomed recommendations rather than opposing them."
System justification,"Tendency to defend and legitimize existing social, economic, political systems.","Workers justify unfair wages as necessary for economic stability.
 Citizens defend unequal systems as natural or deserved.
 Employees blame themselves instead of flawed organizational structures.
 Marginalized groups accept stereotypes reinforcing existing hierarchies.
 Voters rationalize corruption as unavoidable.","They openly criticized the system instead of defending it.
 Unfair structures were questioned rather than rationalized.
 She supported change over preserving existing institutions."
Favor simple-looking options & complete information,,,
Less-is-better effect,Smaller quantities judged more valuable when evaluated separately from larger ones.,"People prefer one perfect cookie over several imperfect ones.
 Shoppers value a pristine gift set over larger damaged bundle.
 Donors give more to single compelling story than statistics.
 Recruiters favor concise resumes over longer detailed ones.
 Buyers prefer fewer high-quality items.","The larger set was judged more valuable even when evaluated separately.
 He preferred greater quantity regardless of presentation context.
 Value judgments increased consistently with size."
Occam's razor,Preference for simpler explanations when multiple plausible explanations exist.,"Doctor favors common diagnosis over rare disease initially.
 Engineer chooses straightforward design instead of complex alternative.
 Analyst explains trend using fewer assumptions.
 Student solves problem with simplest valid formula.
 Investigator suspects simplest motive first.","They favored a complex explanation supported by strong evidence.
 Multiple interacting causes were accepted despite simplicity.
 The simplest theory was rejected due to poor fit."
Conjunction fallacy,Assuming specific combined events are more probable than single events.,"People believe detailed personality plus job description is more likely.
 Jury assumes suspect committed multiple related crimes.
 Readers judge complex story more realistic than simple explanation.
 Investors expect startup to succeed in multiple ambitious markets.
 Students think specific scenario is likelier than general one.","She correctly judged single events as more probable than combined scenarios.
 Probabilities were calculated using formal statistical reasoning.
 They avoided intuitive but incorrect probability judgments."
Delmore effect,Short tasks perceived longer when broken into multiple segments.,"Workers overestimate time for checklist with many small steps.
 Students dread assignments divided into many subtasks.
 Commuters feel trip longer when counting stops.
 Gamers perceive missions longer when subdivided.
 Runners feel workout longer with segmented intervals.","Breaking the task into steps made it feel shorter.
 Segmented tasks seemed easier and quicker to complete.
 Perceived duration decreased after dividing the work."
Law of Triviality,Disproportionate focus on trivial issues while ignoring important matters.,"Team debates logo color while ignoring system architecture.
 Meeting fixates on formatting instead of strategy.
 Committee argues about parking rather than budget allocation.
 Developers discuss variable names, delaying core logic.
 Board obsesses over minor expenses.","The team focused discussion on critical issues over minor details.
 Time was allocated according to importance, not simplicity.
 Trivial matters were deliberately deprioritized."
Belief bias,Judging arguments by believability rather than logical validity.,"People accept flawed reasoning because conclusion feels true.
 Jurors trust arguments matching personal beliefs.
 Students mark incorrect proofs as correct due to familiar outcomes.
 Readers accept misinformation aligning with prior views.
 Debaters favor agreeable conclusions.","He rejected a believable argument because it was logically invalid.
 Logical structure mattered more than conclusion plausibility.
 She evaluated arguments strictly by formal reasoning."
Bike-shedding effect,Over-discussing minor details while neglecting complex important decisions.,"Team spends hours on UI colors ignoring backend scalability.
 Managers argue font choice instead of project risks.
 Group debates lunch options during critical planning.
 Engineers fixate on comments rather than algorithms.
 Committee discusses naming instead of objectives.","Meetings prioritized complex core decisions over cosmetic details.
 Minor issues were skipped to address major design challenges.
 The team avoided unnecessary discussion of trivial aspects."
Rhyme as reason effect,Rhyming statements perceived as more truthful or persuasive.,"Slogans like no pain no gain feel convincing.
 Rhyming advice is remembered and trusted more.
 Jurors find rhymed arguments more credible.
 Advertisements use rhymes to increase persuasion.
 Proverbs rhyme to sound wise.","A non-rhyming statement was trusted more due to strong evidence.
 Rhyming slogans were dismissed as uninformative.
 Persuasion depended on data, not poetic form."
Information bias,Seeking additional information even when it does not improve decisions.,"Doctors order unnecessary tests despite clear diagnosis.
 Managers request more reports delaying action.
 Students over-research simple assignments.
 Investors seek excessive data before obvious decisions.
 Analysts collect metrics without impact.","She stopped gathering data once it no longer improved decisions.
 Only relevant information was collected before choosing.
 Extra details were ignored to avoid analysis paralysis."
Ambiguity bias,Avoiding options with unknown probabilities in favor of known risks.,"Investors prefer bonds over unfamiliar startups.
 People choose known brands instead of new ones.
 Gamblers avoid games with unclear odds.
 Employees avoid innovative roles with uncertain outcomes.
 Consumers reject unfamiliar technologies.","He chose the option with unknown probabilities after careful evaluation.
 Uncertain risks were accepted when potential benefits were higher.
 They preferred flexibility over familiar but limited options."
